"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.08706458119912e-69,1.20010116925471,0.283,0.122,6.5235377614541e-65,"11","NAPSB"
4.55016157813057e-53,1.19327775460768,0.725,0.629,1.42224400447627e-48,"11","CD74"
2.18684995360822e-60,1.18318925866075,0.27,0.12,6.83543689999323e-56,"11","ADAM28"
3.3360607823838e-93,1.18176051178119,0.537,0.308,1.0427525187497e-88,"11","CD81"
3.26618837060751e-52,1.16864267333085,0.25,0.115,1.02091249900079e-47,"11","SRGAP2B"
1.06299946884355e-56,1.15451360274943,0.372,0.205,3.3226174397643e-52,"11","YWHAH"
4.59537222074424e-46,1.1503816127832,0.286,0.148,1.43637549503803e-41,"11","C3AR1"
1.25857470102915e-16,1.1358833543191,0.255,0.174,3.93392694300683e-12,"11","TEX14"
2.66337815375704e-57,1.12645942224266,0.284,0.134,8.32492109519837e-53,"11","ST6GALNAC3"
3.24039289400998e-64,1.12385794058669,0.29,0.13,1.0128496068807e-59,"11","SLCO2B1"
2.12151315720738e-84,1.12369186392927,0.366,0.164,6.63121367548312e-80,"11","ST6GAL1"
2.92021811407554e-65,1.1209166004796,0.288,0.128,9.12772575916591e-61,"11","MERTK"
1.0561707398636e-44,1.09712830079919,0.278,0.144,3.30127288159166e-40,"11","SKIL"
3.96589711838431e-61,1.09254708623918,0.446,0.266,1.23962046229338e-56,"11","HLA-DQB1"
6.75408043681393e-57,1.07703548043759,0.475,0.297,2.11112292213493e-52,"11","SGK1"
1.3185278133985e-45,1.07214287371482,0.404,0.252,4.12132238633969e-41,"11","FOSB"
7.63861354723853e-83,1.06824099721692,0.576,0.336,2.38760143646035e-78,"11","APOC1"
1.3467542692941e-35,1.05290734682528,0.368,0.235,4.20954981953258e-31,"11","IER3"
1.53925309472659e-32,1.0497565534457,0.269,0.154,4.8112433981869e-28,"11","TSC22D2"
9.97349789255468e-23,1.03845896254121,0.423,0.32,3.11741623627582e-18,"11","NFKBIA"
1.10504961121995e-89,1.03704609558353,0.708,0.459,3.45405356979021e-85,"11","APOE"
2.84982678963871e-60,1.03278931987913,0.328,0.159,8.9077035963737e-56,"11","CYFIP1"
1.42888133898466e-94,1.02075905023229,0.489,0.243,4.46625440126437e-90,"11","A2M"
6.20195508480541e-62,1.01261345307853,0.361,0.181,1.93854510085763e-57,"11","CSF2RA"
6.752122340835e-72,1.01138076024763,0.443,0.236,2.1105108800748e-67,"11","EPB41L2"
3.54025989006708e-80,1.00744117850957,0.498,0.27,1.10657903383827e-75,"11","APBB1IP"
2.07424015929318e-29,1.00109201444866,0.664,0.596,6.48345246590269e-25,"11","UBC"
8.46582776116307e-46,0.993440929507332,0.515,0.369,2.64616378330674e-41,"11","JUND"
4.17326161567605e-32,0.989307612286128,0.493,0.377,1.30443638321186e-27,"11","KLF6"
1.86772640078028e-91,0.984992516152583,0.481,0.237,5.83795241091892e-87,"11","C3"
2.05907110460514e-75,0.976998355384647,0.466,0.247,6.43603855166429e-71,"11","ARHGAP24"
9.13022100966575e-43,0.97646458678827,0.283,0.148,2.85383318099122e-38,"11","SHTN1"
8.17506527405143e-29,0.969370810281514,0.301,0.186,2.55528015271026e-24,"11","SPTLC2"
1.78093414872115e-46,0.96915439222703,0.332,0.18,5.56666586865769e-42,"11","JAZF1"
4.22731454805238e-41,0.958035915774906,0.269,0.138,1.32133170828473e-36,"11","RASAL2"
2.15530347062853e-45,0.957808012520067,0.311,0.165,6.73683205814359e-41,"11","DLEU1"
1.32521414735764e-67,0.956352226480762,0.293,0.127,4.14222186039579e-63,"11","KCNQ3"
2.54248195657456e-32,0.941978504988002,0.262,0.147,7.94703585166511e-28,"11","MIR23AHG"
4.93941845441806e-114,0.933858256775091,0.763,0.474,1.54391402629745e-109,"11","PLXDC2"
2.27247637405988e-71,0.928746841418728,0.397,0.197,7.10307940239898e-67,"11","SORL1"
7.98754380912428e-58,0.92647218474271,0.722,0.563,2.49666656841798e-53,"11","HSP90AA1"
4.8874917617473e-67,0.914143704458453,0.533,0.318,1.52768329996935e-62,"11","MEF2C"
2.02088057237185e-31,0.910586628040952,0.293,0.173,6.31666640506268e-27,"11","BMP2K"
1.54880807747173e-58,0.91049162954782,0.43,0.243,4.84110940775337e-54,"11","ELMO1"
1.06858166533585e-07,0.904830570472612,0.264,0.213,0.00334006571134026,"11","IL1B"
4.76121556271601e-45,0.901995639049167,0.265,0.131,1.48821314843814e-40,"11","PDE3B"
8.1903598152208e-40,0.896236593345777,0.302,0.165,2.56006076744357e-35,"11","ZFHX3"
1.68554296041071e-34,0.893337961187318,0.288,0.165,5.26850163135576e-30,"11","OXR1"
2.7439744983077e-26,0.892211254249095,0.253,0.15,8.57684108936038e-22,"11","SDCCAG8"
3.60466681956603e-51,0.890265181731599,0.432,0.256,1.12671070779176e-46,"11","SMAP2"
2.7357110432456e-39,0.888013417126613,0.319,0.179,8.55101200787278e-35,"11","LPCAT2"
1.3518278923375e-37,0.877247766413755,0.336,0.198,4.22540844307932e-33,"11","CAPG"
4.58795592158099e-32,0.874691900021233,0.257,0.143,1.43405738240857e-27,"11","TMIGD3"
2.39815239829259e-48,0.872467613140899,0.338,0.181,7.49590495134314e-44,"11","CSF1R"
4.09985125588584e-53,0.869620154862655,0.551,0.368,1.28149050705224e-48,"11","ZFP36L1"
1.68795855812036e-70,0.867165388798627,0.528,0.308,5.2760520651168e-66,"11","MEF2A"
3.28219419723061e-39,0.861621302177067,0.36,0.214,1.02591544022837e-34,"11","HERPUD1"
2.54324574736311e-49,0.858771232387052,0.335,0.176,7.94942323253288e-45,"11","SDK1"
8.39768339383064e-21,0.84690912652306,0.324,0.224,2.62486389840964e-16,"11","HSPD1"
1.98450477086521e-30,0.846456259582029,0.302,0.181,6.2029665622934e-26,"11","FHIT"
7.17589427184331e-25,0.833548751612256,0.25,0.149,2.24296927255006e-20,"11","MAP4K3"
6.66825672688504e-29,0.832732257232329,0.298,0.18,2.08429700512246e-24,"11","NUDT3"
